wallet,token_symbol,spender,block_time,tx_hash,amount_raw,is_revoke,gas_used,gas_cost_eth,max_priority_fee_per_gas,approval_type,outstanding,is_unlimited
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0xb37d31b2a74029b5951a2778f959282e2d518595,2023-12-18 09:01:11+00:00,0x6e5f9ff0ef025537e15edea22764f92110ef268c3c2d82627ce30e349e75caa3,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48897,0.001666989653678118,100000000,unlimited,True,True
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0xced332d82394fc79eca4da5d128e01799a7aa351,2023-12-22 03:03:47+00:00,0x040062c2013249313a4ee9e741d6e79a0cb71eb113f584092482a07346af67a2,0,True,26420,0.000737889255282,100000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0xd9b2cb2fbad204fc548787ef56b918c845fcce40,2025-11-06 13:13:47+00:00,0x74dea218d431ae00643462959aeb00ae10f8c8e123bd791f721a05ad014be01b,100000000000,False,48561,0.000167439702082056,2000000000,exact,True,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,2023-02-14 00:40:47+00:00,0x3b20a52e0026b947fbd97ca397eb500ab2ba78a2d7bb7a7474ca14fa137e1586,9993740888,False,48573,0.00082993670902485,1000000000,exact,True,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0xecf2b548e5c21028b0b60363207700fa421b6ecb,2023-12-22 03:03:59+00:00,0xdfb9354347150d60d5a6c94f62bfc2ad9b85823ab29881131de6a00f0d48d2b0,0,True,26408,0.000730618397432736,100000000,revocation,False,False
0x0000005c7dc69d405f09aaadca29068d4f88cde8,USDT,0xfd9f795b4c15183bdba83da08da02d5f9536748f,2024-01-08 13:18:59+00:00,0x9daec3c2cc958f2172afadcb1d9162b0fa6756bf30858c12845eb17c79bc9482,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48897,0.000901326778474113,100000000,unlimited,True,True
0x001f8dd2ea7144a227830a7e9037a9260679d788,USDT,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,2025-02-25 08:01:35+00:00,0x2051bcac22effb44e7d4e5be2dca7ff113ca16a86a3f52b9a7ca3b8fde60f073,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,48897,0.000727062544440549,1000000000,unlimited,True,True
0x005ff7f807e62c58185234c6e98859d56d2e56f1,USDC,0x1111111254eeb25477b68fb85ed929f73a960582,2024-02-25 11:22:11+00:00,0xfac46f29fce612bd63fc5f7e3a124f33808d9491908fd695196818c1c9eee27b,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,487365,0.01621019437225128,33260891472,unlimited,True,True
0x005ff7f807e62c58185234c6e98859d56d2e56f1,USDC,0xc3d688b66703497daa19211eedff47f25384cdc3,2026-02-05 10:07:23+00:00,0x2549edafea9ae80deed7b038a2e3c9aa23223cf2d7969830e6b2930b56088daf,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,38806,8.3635846997904e-05,2000000000,unlimited,True,True
0x013027b0d8f6d8c39ece08bb6ad2848324c6de6e,USDC,0x1715a3e4a142d8b698131108995174f37aeba10d,2025-10-06 14:24:47+00:00,0x40803f13972e9951a6e6ed480e67d16bc96376959c80bbcef65a93fe9b22c73a,10222353287,False,55582,0.00011132475231503,17860000,exact,True,False
0x013027b0d8f6d8c39ece08bb6ad2848324c6de6e,USDC,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,2026-01-21 19:52:11+00:00,0xb5d3bcd06ea564ed9cfb10eeec3ae09620e12a44bbcabc5613118b9841a621ab,1200000000000,False,209497,0.000330050654656962,694400000,exact,True,False
0x013027b0d8f6d8c39ece08bb6ad2848324c6de6e,USDC,0xc3d688b66703497daa19211eedff47f25384cdc3,2026-01-07 16:51:11+00:00,0xce46f95cafac2e6e3d99e193f5ffe62b70b7365c52882757d8e89f15789c4ccb,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,1.1764584253352e-05,100000000,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x000000000022d473030f116ddee9f6b43ac78ba3,2024-05-30 20:14:11+00:00,0x0884a1d3d6d03efa509d7bca94c9a50f37e357e099ac7406ff0607adfbd77c3e,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55846,0.00067418939410921,1000000,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,2024-12-25 20:32:23+00:00,0x2f093e320b65a7a5fb21ac7d40c24f8f10aab0de6aca72ac813a301029e07110,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55894,0.000267075155547666,6782197,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x1111111254eeb25477b68fb85ed929f73a960582,2024-01-24 14:30:11+00:00,0xd98a317ca372f22ca6d9d5572f49baf21076fdc4fdbbe9b2be85766a7c9c82d9,100000000,False,55558,0.000952092490170842,10000000,exact,True,False
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x134ccaaa4f1e4552ec8aecb9e4a2360ddcf8df76,2025-01-08 00:15:23+00:00,0x5f60509e03ebd87b17773f84bc2116f18e9e74b2b5f8779b1af2d96ba7af8d23,10000000,False,284609,0.001786044009420424,6234681,exact,True,False
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x18a0f3f937dd0fa150d152375ae5a4e941d1527b,2025-04-02 17:11:35+00:00,0x7167dfd06de8e65ce8219572105d1e16e5606dfd3997b40f127d93051ebb3e1c,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,6.6112359195254e-05,1000000,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x1e0049783f008a0085193e00003d00cd54003c71,2024-02-11 03:30:23+00:00,0x51d4e9c63f2eeef2d5062ebd21ca2b08683d230f6d36c49bb2ee2c1333a05a9f,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55822,0.0013229753070287,10000000,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x28b3a8fb53b741a8fd78c0fb9a6b2393d896a43d,2026-02-02 22:42:35+00:00,0x9e1cabc579ff58213eeb782cba7961f4326d1a610c41adbabb0186a76a625995,10000000,False,55558,5.85239721637e-06,15,exact,True,False
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x370de27fdb7d1ff1e1baa7d11c5820a324cf623c,2025-08-20 14:55:47+00:00,0xabfd365dd77f111be2864dd2ef2308040393bc5676f4f7e283a5e535ebdf298c,1000000,False,55558,7.899774158103e-05,160000,exact,True,False
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x39ff6d21204b919441d17bef61d19181870835a2,2026-02-23 01:54:35+00:00,0xd47934ffe2957820f9bba9c2e1116fd7f41170d0904a9a97a0c2de74c922038f,3000000,False,55558,1.0665215137708e-05,1000000,exact,True,False
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,2026-02-05 20:32:35+00:00,0x75cab3563b34a708391e5f4c20e7ba6c3134e76b1e502e48e098c7874e696961,23969763,False,55558,0.001028810493058894,10000000,exact,True,False
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x45312ea0eff7e09c83cbe249fa1d7598c4c8cd4e,2026-01-26 16:02:59+00:00,0x5befb972e86873c58df3cc01b14d3b172c82fb5bf6e93880a403b5f68e89bef4,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,1.9275108161258e-05,25,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x4a6c312ec70e8747a587ee860a0353cd42be0ae0,2026-02-13 16:57:59+00:00,0xfe758db58708454defc64e901606e2c4b4a020eb991b46cedba48b996c18e01c,1000000,False,413099,0.00011745835544936,150000,exact,True,False
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5,2025-08-05 21:31:11+00:00,0x87351f96ec64fae5a138e9f849b1b528d2203004826a99a9f8ea7f9c1127fe03,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,3.0815449870626e-05,29590,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,2024-04-17 20:53:47+00:00,0xab9855bdae73d82af9915a0d2509f6ca456a7e4daa7d3c5af394ff3b9431b300,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,0.000724889200583568,10000000,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0xae05cd22df81871bc7cc2a04becfb516bfe332c8,2025-09-16 20:07:35+00:00,0x10fa48b56128dcfa6ac60f1b2847124bd5379b5208ab510b7101e9060f9c040c,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,2.0643456764444e-05,72800,unlimited,True,True
0x0140ef253b3756fa832b2ae5970d33c8b2c5afe6,USDC,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2025-02-25 16:17:59+00:00,0xb4dba36ec71dfe476e9672d30ecf8a15dfbda0ff444b86d00891cf7657488876,115792089237316195423570985008687907853269984665640564039457584007913129639935,False,55906,0.000240465744052506,10935115,unlimited,True,True
