wallet,sushi_grants,uniswap_grants,sushi_unlimited_grants,uniswap_unlimited_grants,sushi_ever_unlimited,uniswap_ever_unlimited,is_bot
0x4a7939f3450233eb25ef98b10ad201a26c28a991,4,9,4,9,True,True,False
0x4ae35ad1aaad18da73338fdeadca03ffe49a41b9,48,3,0,2,False,True,False
0x4b00ec3e01e65d8d78dd3ca2af080f0c5c0773a2,4,6,2,6,True,True,False
0x4b0ced2e134a937158f5542834ba8156fa76a53c,3,6,2,6,True,True,False
0x4bb966ed6eb6bd609ed83efeeac8de748f0d9032,1,18,0,1,False,True,False
0x4bc07ce4b3784ef0ab800028d4bfb2a9c0d0c371,4,14,0,0,False,False,False
0x4bc2c35a80b74b239f7ae8fa0253b313f867d904,2,2,1,2,True,True,False
0x4bea2c30ec1492c9a65c668e832f262e663958c2,2,7,0,1,False,True,False
0x4bf185bfcd15c0726f2ba2749359f6d1a425f7f8,3,6,3,6,True,True,False
0x4c0fa080de1efbf94a86d9b02f745801457064a6,2,6,2,6,True,True,False
0x4c1494a1e67a65a9afdf9840018ddf7fce24c886,4,5,0,5,False,True,False
0x4c195556d89a8ff615c5a6fc81e09fe84a134c98,3,6,2,6,True,True,False
0x4c5f6ad6628d205259443ebcf6cc4cdd7d6cbf81,2,9,0,3,False,True,True
0x4c7f30d89ccd4b88e9ca1c49e68b5863f8f14986,9,2,0,2,False,True,False
0x4c80ee8fe3163b220d8a1532dbe74080c21fe240,30,1,0,1,False,True,False
0x4cbe78fc4f2b6f619aa8c5c0adedb36e238e8882,2,1,1,1,True,True,False
0x4d115e4763b16e8a1b0e74842344b1b1e01acd34,3,12,3,12,True,True,False
0x4d6ed86afd3d1cf1d1007203f64efd07dcc0a724,3,1,0,1,False,True,False
0x4dbd02f6d2f6d912ae397973afdc8b402e554be7,2,1,0,1,False,True,False
0x4e5cd7f52bc397d0577d3619b08bf3c575efa365,4,6,3,6,True,True,False
0x4e7cab769e6723245fefb65435b056c80c614cc1,5,5,5,5,True,True,False
0x4eccec20b2251d0187447b1ad88ff55682d275da,3,6,3,6,True,True,False
0x4eec0f0565b4cbe6790c3a8d0357aaad5036b6a0,13,3,0,1,False,True,False
0x50bda6acb211951ae4840ae5d8b58252321b622b,3,6,3,6,True,True,False
0x50c8ffd3561c05710cb074e1ee60b68c7e919a7c,1,1,1,1,True,True,False
0x50fc5626cc6755456e1b22d72bd6807274210f51,2,6,2,6,True,True,False
0x51c24a7c336b93a1147b3e3c952eacca43ab381a,4,6,4,6,True,True,False
0x52d59fc20090cce200138ef2eae879dcd181f0d5,1,1,0,1,False,True,False
0x52d8f0d5e13b2cb3dca6de46f2fc2c75bf2cb147,1,2,1,2,True,True,False
0x52deddca7c3371b13f4359863e509710ed3de132,4,1,0,1,False,True,False
0x531d65c387e27b3d6b70290a63d051900342e63b,20,2,0,2,False,True,False
0x533f83f6fe23e816449f215b81875958e67edd00,5,6,5,6,True,True,False
